case number,case detail,time of fir,no of suspects,progress,police station numbers
U958Y,Identity theft,2022-08-18 00:13:18,1,closed,53471469
9VA4U,Robbery at a convenience store,2022-08-26 16:25:00,1,closed,38339456
2OEiz,Cybercrime,2022-09-08 07:06:00,5,pending,20604266
JBMT7,Kidnapping,2020-06-27 20:56:33,5,pending,74053149
Y8TjT,Trespassing,2019-07-25 03:56:48,9,pending,32093625
BxRJi,Drug trafficking,2022-03-05 19:17:25,10,pending,20562815
7kGut,Drug trafficking,2019-05-17 19:45:59,8,closed,15764119
RsylK,Forgery and fraud,2020-12-22 22:33:25,10,pending,26499795
hzvLI,Burglary in a residential area,2021-03-24 01:15:12,5,closed,34125212
eEIdu,Public disturbance,2019-04-24 18:54:03,2,closed,21150542
HEvgF,Vandalism in a park,2020-10-28 01:44:26,5,closed,42339561
QSgNO,Assault on an officer,2021-08-08 22:40:46,5,pending,77373898
6jSv7,Trespassing,2019-05-09 22:36:56,6,closed,62033620
wOC08,Assault on an officer,2019-05-11 21:28:12,10,closed,44891021
b2AQ2,Drug trafficking,2020-11-26 22:06:28,8,pending,20278470
y7Qst,Assault in a public place,2019-11-27 01:36:44,3,pending,79453251
3TalP,Human trafficking,2022-07-09 23:24:40,2,closed,04006152
P3ppO,Public disturbance,2019-09-11 18:26:18,2,closed,15757666
SVF5U,Forgery and fraud,2022-04-07 07:08:03,9,closed,82227791
vHpn6,Drug trafficking,2022-08-25 19:47:24,9,pending,75251827
cSH11,Vandalism in a park,2019-08-17 03:19:38,10,closed,08961865
QqbwC,Public disturbance,2020-08-12 06:47:48,10,closed,89326396
DX5HQ,Assault in a public place,2021-12-10 06:00:41,4,pending,67387340
OLNQA,Human trafficking,2022-12-18 06:19:57,5,closed,91419612
GT9dH,Forgery and fraud,2022-01-28 18:26:31,1,pending,50013703
48Z1s,Identity theft,2021-09-11 06:52:31,3,closed,26330484
0lHPi,Assault in a public place,2022-05-09 16:01:09,1,closed,26899654
